Tiempo	Error_X	Error_Y	Pos_Xd	Pos_Yd	Xdp	Ydp
0.031	0.010	0.010	0.000	0.000	0.274	3.185
0.041	0.013	0.013	-0.009	0.007	0.280	3.154
0.060	0.019	0.019	-0.009	0.007	0.283	3.182
0.081	0.025	0.025	-0.008	0.007	0.286	3.207
0.100	0.032	0.032	-0.008	0.008	0.289	3.224
0.120	0.038	0.038	-0.006	0.009	0.293	3.235
0.140	0.044	0.044	-0.004	0.010	0.296	3.238
0.161	0.050	0.050	-0.002	0.012	0.300	3.235
0.180	0.057	0.057	0.001	0.014	0.305	3.223
0.201	0.063	0.063	0.004	0.016	0.309	3.205
0.220	0.069	0.069	0.009	0.019	0.314	3.179
0.240	0.076	0.076	0.013	0.023	0.319	3.146
0.261	0.082	0.082	0.019	0.027	0.323	3.105
0.280	0.088	0.088	0.025	0.031	0.328	3.056
0.300	0.094	0.094	0.031	0.036	0.334	2.998
0.321	0.101	0.101	0.038	0.041	0.339	2.933
0.340	0.107	0.107	0.046	0.047	0.344	2.860
0.361	0.113	0.113	0.054	0.053	0.349	2.780
0.380	0.120	0.119	0.063	0.060	0.354	2.691
0.400	0.126	0.126	0.072	0.068	0.358	2.594
0.421	0.132	0.132	0.082	0.076	0.363	2.490
0.441	0.138	0.138	0.092	0.085	0.367	2.379
0.461	0.145	0.145	0.103	0.094	0.371	2.261
0.481	0.151	0.151	0.114	0.105	0.374	2.135
0.501	0.157	0.157	0.125	0.116	0.377	2.008
0.521	0.164	0.163	0.136	0.126	0.379	1.884
0.540	0.170	0.170	0.145	0.137	0.382	1.763
0.560	0.176	0.176	0.155	0.147	0.384	1.647
0.580	0.182	0.182	0.163	0.158	0.386	1.534
0.600	0.189	0.188	0.171	0.168	0.388	1.424
0.620	0.195	0.195	0.179	0.177	0.389	1.318
0.640	0.201	0.201	0.186	0.187	0.391	1.215
0.661	0.207	0.207	0.193	0.196	0.393	1.115
0.681	0.214	0.214	0.198	0.205	0.394	1.016
0.701	0.220	0.220	0.204	0.214	0.396	0.918
0.721	0.226	0.226	0.209	0.223	0.397	0.823
0.741	0.233	0.232	0.213	0.231	0.399	0.730
0.761	0.239	0.239	0.217	0.239	0.400	0.639
0.781	0.245	0.245	0.221	0.247	0.402	0.556
0.801	0.251	0.251	0.226	0.255	0.402	0.484
0.820	0.258	0.257	0.231	0.262	0.403	0.422
0.841	0.264	0.264	0.236	0.269	0.404	0.369
0.860	0.270	0.270	0.241	0.276	0.404	0.319
0.881	0.276	0.276	0.246	0.283	0.405	0.277
0.900	0.283	0.282	0.251	0.289	0.405	0.241
0.920	0.289	0.289	0.256	0.296	0.405	0.209
0.941	0.295	0.295	0.262	0.302	0.406	0.183
0.961	0.302	0.301	0.267	0.308	0.406	0.159
0.980	0.308	0.307	0.273	0.315	0.406	0.140
1.001	0.314	0.313	0.278	0.321	0.406	0.123
1.020	0.320	0.320	0.284	0.327	0.406	0.108
1.041	0.327	0.326	0.290	0.332	0.407	0.096
1.061	0.333	0.332	0.296	0.338	0.407	0.085
1.080	0.339	0.338	0.301	0.344	0.407	0.075
1.100	0.345	0.345	0.307	0.350	0.407	0.067
1.121	0.352	0.351	0.313	0.356	0.408	0.059
1.140	0.358	0.357	0.319	0.362	0.408	0.053
1.160	0.364	0.363	0.325	0.367	0.408	0.048
1.180	0.371	0.369	0.331	0.373	0.408	0.043
1.200	0.377	0.376	0.337	0.379	0.408	0.038
1.220	0.383	0.382	0.342	0.384	0.408	0.035
1.241	0.389	0.388	0.348	0.390	0.409	0.031
1.261	0.396	0.394	0.354	0.396	0.409	0.028
