Tiempo	Error_X	Error_Y	Pos_Xd	Pos_Yd	Xdp	Ydp
0.031	0.010	0.010	0.000	0.000	0.301	3.156
0.134	0.042	0.042	-0.001	0.000	0.306	3.202
0.237	0.074	0.074	-0.001	0.000	0.311	3.250
0.339	0.106	0.106	0.006	0.005	0.321	3.226
0.442	0.139	0.139	0.026	0.020	0.340	3.054
0.545	0.171	0.171	0.070	0.053	0.371	2.633
0.647	0.203	0.203	0.120	0.097	0.397	2.114
0.750	0.236	0.235	0.181	0.160	0.418	1.459
0.853	0.268	0.267	0.237	0.231	0.427	0.828
0.955	0.300	0.299	0.281	0.301	0.428	0.281
1.058	0.332	0.331	0.311	0.362	0.425	-0.198
1.162	0.365	0.364	0.325	0.411	0.421	-0.628
1.265	0.397	0.396	0.343	0.456	0.416	-0.885
1.367	0.429	0.427	0.368	0.495	0.415	-0.926
1.471	0.461	0.460	0.411	0.534	0.416	-0.726
1.574	0.494	0.491	0.453	0.561	0.419	-0.423
1.676	0.526	0.523	0.500	0.587	0.419	-0.113
1.779	0.558	0.554	0.543	0.607	0.418	0.174
1.882	0.590	0.586	0.583	0.625	0.416	0.397
1.985	0.622	0.617	0.618	0.644	0.415	0.521
2.087	0.654	0.648	0.651	0.672	0.415	0.482
2.191	0.686	0.680	0.679	0.705	0.416	0.318
2.294	0.718	0.711	0.702	0.741	0.416	0.075
2.396	0.750	0.741	0.728	0.786	0.414	-0.205
2.499	0.782	0.772	0.751	0.822	0.412	-0.367
2.602	0.814	0.803	0.778	0.856	0.411	-0.437
2.706	0.846	0.834	0.802	0.880	0.412	-0.408
2.810	0.878	0.865	0.843	0.910	0.411	-0.237
2.914	0.910	0.895	0.879	0.930	0.411	-0.033
3.018	0.942	0.925	0.916	0.949	0.410	0.158
3.121	0.974	0.956	0.952	0.970	0.408	0.282
3.225	1.006	0.986	0.985	0.993	0.407	0.331
3.327	1.038	1.015	1.016	1.021	0.407	0.270
3.431	1.069	1.045	1.043	1.052	0.406	0.140
3.533	1.101	1.074	1.068	1.085	0.405	-0.020
3.636	1.132	1.103	1.094	1.118	0.404	-0.156
3.739	1.164	1.132	1.126	1.156	0.401	-0.248
3.842	1.195	1.161	1.155	1.184	0.399	-0.252
3.945	1.227	1.189	1.186	1.210	0.398	-0.200
4.047	1.258	1.217	1.220	1.233	0.397	-0.099
4.149	1.289	1.245	1.253	1.255	0.396	0.008
4.252	1.320	1.273	1.287	1.277	0.394	0.094
4.355	1.351	1.301	1.319	1.300	0.393	0.138
4.459	1.382	1.329	1.350	1.325	0.391	0.130
4.561	1.413	1.356	1.380	1.352	0.390	0.080
4.664	1.444	1.383	1.408	1.380	0.388	0.008
4.766	1.475	1.409	1.441	1.414	0.385	-0.075
4.870	1.506	1.436	1.469	1.441	0.383	-0.125
4.974	1.537	1.463	1.498	1.468	0.381	-0.145
5.078	1.568	1.489	1.528	1.492	0.380	-0.129
5.180	1.599	1.515	1.559	1.515	0.378	-0.088
5.284	1.630	1.541	1.591	1.537	0.376	-0.038
5.389	1.661	1.567	1.622	1.559	0.375	0.006
5.492	1.691	1.592	1.653	1.581	0.373	0.032
5.595	1.722	1.617	1.678	1.599	0.372	0.032
5.699	1.752	1.641	1.702	1.617	0.371	0.020
5.802	1.783	1.665	1.737	1.646	0.368	-0.007
5.905	1.813	1.690	1.765	1.669	0.366	-0.036
6.008	1.843	1.713	1.794	1.693	0.364	-0.061
6.111	1.873	1.737	1.829	1.721	0.360	-0.073
6.214	1.903	1.760	1.859	1.743	0.358	-0.075
6.316	1.933	1.782	1.888	1.764	0.356	-0.066
6.419	1.962	1.805	1.918	1.785	0.354	-0.054
6.522	1.992	1.827	1.948	1.805	0.351	-0.041
6.624	2.022	1.849	1.977	1.825	0.349	-0.031
6.728	2.051	1.871	2.007	1.845	0.347	-0.028
6.831	2.081	1.892	2.036	1.865	0.345	-0.030
6.934	2.110	1.913	2.065	1.885	0.342	-0.036
7.036	2.139	1.933	2.099	1.909	0.339	-0.043
7.138	2.168	1.954	2.128	1.928	0.336	-0.053
7.242	2.198	1.974	2.157	1.947	0.334	-0.060
7.345	2.226	1.993	2.185	1.966	0.332	-0.065
7.447	2.255	2.013	2.214	1.985	0.329	-0.067
7.549	2.284	2.032	2.242	2.002	0.327	-0.066
7.655	2.313	2.051	2.271	2.020	0.324	-0.063
7.758	2.342	2.069	2.299	2.036	0.322	-0.059
7.860	2.370	2.087	2.327	2.053	0.319	-0.056
7.962	2.398	2.104	2.361	2.073	0.316	-0.050
8.065	2.427	2.122	2.389	2.089	0.313	-0.052
8.168	2.455	2.139	2.417	2.104	0.311	-0.054
8.271	2.483	2.155	2.445	2.120	0.308	-0.060
8.375	2.511	2.172	2.472	2.135	0.306	-0.066
